trial,size,distance,direction,time_ms,distance_traveled,errors
1,40,100,right,778.4543037414551,84.8331167981456,0
2,20,200,right,1027.580976486206,213.27574361223245,0
3,60,100,left,529.6003818511963,107.21260801899834,0
4,40,300,left,788.8100147247314,297.799364797365,0
5,60,300,right,719.5420265197754,341.9244379475014,0
6,60,300,right,794.4231033325195,307.313500220112,0
7,20,100,right,1635.5698108673096,171.78842749312813,1
8,60,100,right,1097.886323928833,93.19889715949982,1
9,20,100,left,835.1025581359863,125.8068181066171,0
10,40,300,right,1512.052297592163,358.0402853502733,1
11,20,300,right,966.609001159668,392.5607613825397,0
12,20,300,right,1110.044240951538,359.6115758637582,0
13,60,100,right,660.3574752807617,309.04799332859386,0
14,60,100,left,614.0410900115967,120.4762797752742,0
15,60,200,left,877.6178359985352,206.9566017274064,0
16,60,300,left,751.0743141174316,301.4217972782356,0
17,20,300,left,1197.9849338531494,318.5706222621883,0
18,40,200,right,1179.46195602417,344.807595724387,1
19,40,100,left,781.8233966827393,107.35417318544498,0
20,40,300,left,1282.5610637664795,306.8576652328444,1
21,40,100,left,900.841474533081,195.3048268675247,0
22,40,100,right,845.2036380767822,135.4736797058026,0
23,20,100,left,601.9713878631592,103.39734576334722,0
24,20,300,right,946.617603302002,313.99556351635647,0
25,60,200,left,651.3681411743164,211.16490226021236,0
26,40,300,right,1522.7587223052979,344.0411802699931,1
27,40,100,right,599.0304946899414,111.55394851225374,0
28,20,300,right,765.1114463806152,341.6185701724632,0
29,40,100,right,596.4150428771973,100.50288164941661,0
30,60,300,left,729.7172546386719,310.1384811680337,0
31,40,100,left,521.6565132141113,94.44737436490996,0
32,40,300,left,867.5718307495117,311.6655843251537,0
33,20,300,right,1114.0432357788086,618.9119875919234,0
34,20,300,right,749.0601539611816,316.8997287062398,0
35,60,300,right,834.3944549560547,290.5678257339607,0
36,20,200,left,1117.4368858337402,212.9968362387022,0
37,40,200,left,886.2972259521484,201.15869714945126,0
38,20,300,left,870.1155185699463,314.35337838586594,0
39,20,200,left,1034.8591804504395,331.8841906660317,0
40,20,300,left,935.5390071868896,309.6509480272791,0
41,40,200,right,875.0250339508057,404.8080462288479,0
42,40,100,left,732.1960926055908,232.16298514972254,0
43,20,200,left,895.8110809326172,205.92264949670835,0
44,40,200,right,865.8883571624756,218.26292899429072,0
45,20,200,left,1107.7499389648438,198.49972257708433,0
46,60,300,right,879.1947364807129,493.85940989186025,0
47,40,100,left,829.0176391601562,95.24216499010595,0
48,20,100,right,817.664384841919,180.38570771118475,0
49,40,300,left,810.2524280548096,293.532532122227,0
50,20,100,left,1054.572582244873,173.2528100583326,0
51,60,200,left,630.3188800811768,212.3917311839556,0
52,40,300,left,644.1631317138672,301.7735227217261,0
53,60,200,right,678.8902282714844,241.48700955184512,0
54,40,200,left,814.3863677978516,275.8450812753633,0
55,60,100,left,595.7720279693604,167.78917024662917,0
56,60,100,right,583.6367607116699,94.4889396150597,0
57,20,100,right,1326.6375064849854,137.54110921507413,1
58,60,200,right,685.5254173278809,235.37871872112962,0
59,40,300,right,800.3168106079102,468.96385678872804,0
60,60,200,left,974.46608543396,205.53698014450478,0
61,40,100,left,663.4871959686279,107.75539858016721,0
62,20,100,right,906.2075614929199,148.83647734956958,0
63,40,100,left,549.4992733001709,110.99077048602624,0
64,60,200,right,575.1914978027344,234.52492933204965,0
65,60,100,right,1205.4667472839355,120.99560844250807,0
66,60,300,right,820.0335502624512,300.79215832389986,0
67,60,300,right,1186.68532371521,365.6994728314733,1
68,40,200,left,773.3404636383057,201.02620299209602,0
69,20,200,left,919.9717044830322,204.7706632430247,0
70,60,100,right,845.8001613616943,119.99177489261828,0
71,20,200,left,805.2592277526855,202.21432409721842,0
72,60,200,right,620.011568069458,201.9525708583907,0
73,40,200,right,858.0868244171143,195.72989952416611,0
74,60,100,right,1093.6217308044434,99.37269426956843,1
75,60,200,right,725.1071929931641,204.40257020649867,0
76,40,200,left,789.1988754272461,203.73779208752077,0
77,60,300,left,859.8358631134033,289.8613248004109,0
78,40,300,left,845.0906276702881,319.518242793119,0
79,20,100,left,881.5131187438965,109.78743753547299,0
80,20,200,right,1980.1454544067383,286.42978195503326,2
81,40,100,left,1170.4840660095215,273.48897107612873,1
82,20,200,right,744.1015243530273,207.63027156588566,0
83,60,100,left,981.391191482544,159.67324518110192,1
84,40,300,right,708.6751461029053,298.10331375855696,0
85,40,100,right,914.6988391876221,107.05030255131922,0
86,40,300,right,894.1848278045654,328.87222422484325,0
87,20,100,left,883.2008838653564,157.58364913559217,0
88,60,200,left,607.4268817901611,199.04617014481036,0
89,20,100,right,971.0121154785156,133.83008668393092,0
90,60,100,left,565.3235912322998,119.2684241320635,0
91,20,100,left,870.1670169830322,102.01315561749642,0
92,40,300,right,1108.3033084869385,296.9677588629293,0
93,40,200,left,1219.2058563232422,232.18369358438434,1
94,60,100,right,547.940731048584,90.6399205727588,0
95,60,300,left,632.5280666351318,325.2718099739477,0
96,60,100,left,663.2249355316162,92.50307552703272,0
97,40,300,left,662.7340316772461,309.17167015086346,0
98,60,200,right,777.376651763916,359.21809104840884,0
99,20,200,right,877.8781890869141,263.4322894479468,0
100,40,100,left,892.1005725860596,130.01963503228083,1
101,60,200,left,751.8610954284668,214.10053139206323,0
102,20,200,left,1095.4718589782715,233.91969370174857,0
103,60,300,right,875.9012222290039,580.0826865064573,0
104,20,300,right,974.8752117156982,535.74225730117,0
105,20,100,right,1057.2888851165771,131.38800782255447,0
106,20,200,right,897.221565246582,267.42293139785795,0
107,40,200,left,774.2981910705566,203.51614992998654,0
108,40,200,left,892.2092914581299,224.097558745088,0
109,60,300,right,855.5848598480225,402.90007649992896,0
110,20,300,left,1899.0299701690674,345.68312965803494,2
111,40,200,right,995.8550930023193,205.50407972942685,0
112,20,300,right,1207.4499130249023,610.4952729288462,0
113,40,300,left,829.0739059448242,292.64895362744903,0
114,60,300,right,715.6002521514893,496.73530504249436,0
115,60,100,right,1138.9999389648438,108.7398766235539,1
116,20,300,left,947.3006725311279,344.04011930670737,0
117,60,300,left,754.3566226959229,309.78419046354276,0
118,20,100,left,2119.6837425231934,154.1767103977654,3
119,60,200,left,713.6707305908203,236.76779416911725,0
120,40,200,left,679.9499988555908,205.09083202545,0
121,20,100,right,1203.3913135528564,102.3054657499336,1
122,40,100,right,830.4834365844727,274.99192393258966,0
123,20,300,left,965.8091068267822,442.00784317755597,0
124,40,100,right,532.2375297546387,115.96117307516774,0
125,20,200,right,862.0834350585938,266.3505255094187,0
126,40,100,left,451.5957832336426,118.3755539290999,0
127,20,300,left,1166.3415431976318,459.0777978388125,0
128,20,100,left,633.570671081543,114.82469316845004,0
129,60,100,right,762.7990245819092,262.7145109119656,0
130,20,200,right,1333.5118293762207,328.28092525743097,0
131,40,300,right,802.3946285247803,358.79851672624517,0
132,20,100,left,701.7829418182373,110.80002069490592,0
133,40,100,right,766.3514614105225,149.92755271561714,0
134,60,100,right,810.8572959899902,90.36359432482851,0
135,60,300,left,632.7712535858154,319.11345026102424,0
136,60,200,right,714.047908782959,208.9297109065189,0
137,20,300,right,718.9619541168213,353.1939770703374,0
138,20,100,left,1535.5699062347412,242.8403759230316,2
139,20,200,right,751.9173622131348,228.9691381653931,0
140,40,300,right,945.1115131378174,362.07988709209013,0
141,20,200,right,946.0530281066895,242.670952857004,0
142,60,200,right,1233.84428024292,396.1462563506838,1
143,40,100,right,746.9770908355713,170.43251915842615,0
144,40,200,right,974.5607376098633,231.00686776491105,0
145,60,100,left,544.2290306091309,113.784790958946,0
146,60,100,left,519.1795825958252,116.67681032782745,0
147,60,200,right,766.8440341949463,253.88235471179524,0
148,60,100,left,832.54075050354,255.6203172511478,0
149,60,300,right,729.9363613128662,379.0096338809421,0
150,20,200,left,851.4144420623779,202.52477153462672,0
151,40,200,right,858.978271484375,264.2881082520185,0
152,60,300,left,732.6085567474365,308.88451827288617,0
153,40,300,left,1513.0069255828857,351.33420052668765,1
154,20,100,right,1547.7962493896484,329.98590449328964,1
155,60,300,left,654.510498046875,310.0234591559335,0
156,20,100,right,610.5356216430664,99.3791302484055,0
157,20,300,left,786.7016792297363,294.88075708457603,0
158,60,200,left,564.2237663269043,194.40647943224653,0
159,60,200,left,614.3269538879395,215.335357405412,0
160,40,200,left,760.2941989898682,217.83917621240428,0
161,20,300,left,1154.165267944336,363.19027405129947,0
162,20,200,left,1024.2359638214111,218.45136814594613,0
163,20,200,right,885.0281238555908,301.73063832244566,0
164,60,300,left,881.8590641021729,316.1411300709286,0
165,20,200,left,1430.9289455413818,253.1692183894289,1
166,40,200,left,746.2811470031738,253.65801105883776,0
167,40,300,right,765.1495933532715,336.30812396798586,0
168,60,200,left,554.344892501831,214.8900974017105,0
169,40,300,right,1029.6351909637451,311.78091866952633,0
170,20,100,right,951.1218070983887,385.5071187335378,0
171,40,200,right,867.2471046447754,228.7227392068218,0
172,20,300,right,890.2382850646973,359.39344514250297,0
173,60,200,right,716.099739074707,174.53679236698915,0
174,60,100,left,545.905351638794,105.84761607678838,0
175,20,300,left,1032.318353652954,330.4289146850409,0
176,40,300,left,899.4462490081787,297.82493335252946,0
177,40,200,right,733.8497638702393,411.4550542029457,0
178,40,100,right,731.3411235809326,274.7624114032794,0
179,60,300,left,685.2490901947021,294.142380213791,0
180,40,200,right,753.556489944458,219.4550586411492,0
